歌舞伎において、役者の動きを強調するため、舞台脇に置かれた板に木を打ちつけて音を出すことを何というでしょう？,ツケ,
フランス革命の際に兵士たちを鼓舞するため、軍人ルージェ・ド・リールが一夜にして作詞、作曲した、現在のフランス国歌は何でしょう？,『ラ・マルセイエーズ』,
昨年10月、写真家の熊田貴樹(くまだ・たかき)と結婚した、2009年のNHK朝ドラ『つばさ』への主演で知られる女優は誰でしょう？,多部未華子(たべ・みかこ) (スルー),
文章の意味を分かりやすくする効果がある、かな書きの文章を書く時、間に空白を入れながら書いていくことを何というでしょう？,分かち書き,
茶道において、抹茶を入れるために用いる漆塗りの容器のことを、ある植物の実に似ていることから何というでしょう？,棗,
歴代芥川賞受賞者で、名字が「石川」である3人とは、石川達三、石川淳と誰でしょう？,石川利光（いしかわ・としみつ）,
西国三十三箇所の最後の札所であり、唯一近畿地方にない、岐阜県揖斐川町にある天台宗の寺院は何でしょう？,華厳寺,
『明治一/代女』、『鶴八鶴次郎』、『風流深川唄』の3作品で第1回直木賞を受賞した小説家は誰でしょう？,川口松太郎 (吉原②⇒WIN!),
足で踏んで空気を送る大型のふいごのことで、島根県奥出雲町においてこれを用いた製鉄が行われていることで有名なのは何でしょう？,たたら,
ゲーム『平安京エイリアン』ではこのキャラクターを操作する、平安時代、京都の警察業務を担った令外官は何でしょう？,検非違使,
2019年に発生した「大災禍(ザ・メイルストロム)」を経て、高度な医療経済社会が築かれた世界を舞台とする、フィリップ・K・ディック賞特別賞も受賞した伊藤計劃(いとう・けいかく)のSF小説は何でしょう？,『ハーモニー』,
登山で用いられる綱のことを、ドイツ語で何というでしょう？,ザイル,
カードゲームにおいて、最初に配られた手札が悪い時、引き直しを認めることを何というでしょう？,マリガン,
歴史書『日本三代実録』の名の由来となっている3人の天皇とは、清和天皇、陽成天皇と誰でしょう？,光孝天皇,
ファウルラインから約15フィートの位置にある、ボウリングにおいて投球の目安となる三角形の印のことを何というでしょう？,スパット,
簡単な露天風呂を1つだけ作って手を付けていなかったことに由来する、山梨県山梨市にある温泉地は何でしょう？,ほったらかし温泉,
母方の伯父にマーク・トウェインを持つ、代表作に『あしながおじさん』があるアメリカの児童文学作家は誰でしょう？,ジーン・ウェブスター,
『ドラえもん』に関する歌を歌った人物は多数いますが、映画『ドラえもんのび太の宝島』の主題歌『ドラえもん』を歌った人物は誰でしょう？,星野源,
当時の元号から「寛文蝦夷蜂起」ともいう、1669年に起こったアイヌ人の蜂起を、これを主導した人物から「何の戦い」というでしょう？,シャクシャインの戦い,
緩やかにカーブした髪留めのクリップのことを、見た目がアヒルのくちばしに見えることから何というでしょう？,ダッカール,
ミヒャエル・エンデの児童文学『モモ』で、「時間貯蓄銀行」と称して時間を奪っていく男たちのことを、ある色を用いて「何の男たち」というでしょう？,灰色の男たち,
アルティメット、ハンドボール、カバディといえば、いずれも1チームの人数は何人でしょう？,7人,
著書『経済学および課税の原理』において比較生産費説を提唱した、イギリスの古典経済学者は誰でしょう？,デヴィッド・リカード,
農林水産省によって「果実的野菜」に指定されている3つの野菜とは、スイカ、メロンと何でしょう？,イチゴ,
本来は「座った時の/背が高いこと」を意味した、現在では「他人に対して威圧的な態度を取るさま」を意味する言葉は何でしょう？,居丈高 (加瀬〇：4－1),
暴力シーンを伴う映画を多く制作している、映画『クローズZERO』シリーズでメガホンを取った映画監督は誰でしょう？,三池崇史,
パソコンのアンチウィルスソフトで、「ウィルスバスター」を販売しているのはトレンドマイクロですが、「ウィルスセキュリティ」を販売しているのは何という企業でしょう？,ソースネクスト,
