新撰組の組員の中で唯一大正時代まで生きた人物である、新撰組二番隊隊長を務めたことや『新撰組顛末記』などの著書を残したことで知られるのは誰でしょう？,永倉新八,,,,
今年（2012年）4月、歌手生活60周年シングル『結果生き上手』を発売した、『ドレミのうた』の日本語訳などで有名な歌手は誰でしょう？,ペギー葉山,,,,
柔道の試合開始の掛け声は「始め」ですが、試合終了の掛け声は何でしょう？,それまで,,,,
パブロ・ピカソの『ムーラン・ドゥ・ラ・ギャレット』などを所蔵している、フランク・ロイド・ライト設計による螺旋型の建物が特徴的なニューヨークの美術館は何でしょう？,グッゲンハイム美術館【「ソロモン・R・グッゲンハイム美術館」も○】,,,,
国鉄鉄道技術研究所が開発した鉄道用地震警報システムのことを、「アージェント・アースクエイク・ディテクション・アンド・アラーム・システム」の略から何というでしょう？,UrEDAS（ユレダス）,,,,
古代中国の兵法書『六韜（りくとう）』の巻名に由来する、「教科書などの参考書」のことを何というでしょう？,虎の巻,,,,
『不思議の国のアリス』の作者はルイス・キャロルですが、『不思議の国のトムキンス』の作者であるアメリカの物理学者は誰でしょう？,ジョージ・ガモフ[George Gamow],,,,
日本庭園においてよく見られる、地中に埋めた甕に水滴を落とし、その反響音を聞いて楽しむ仕掛けのことを何というでしょう？,水琴窟,,,,
英単語で、「イースト菌」という時の「イースト」にはあって、「東」を意味する「イースト」には無いアルファベットは何でしょう？,Y,,,,
競輪場に設けられた、カーブに沿って外側を高くして傾斜させたコースのことを何というでしょう？,バンク,,,,
アメリカの自動車メーカー・フォード社が初めて用いたとされる、情報を小出しにすることで消費者の購買意欲をそそる広告のことを何というでしょう？,ティーザー広告【覆面広告】,,,,
雪が降っているクリスマスを「ホワイトクリスマス」というのに対し、雪が降っていないクリスマスを何というでしょう？,グリーンクリスマス,,,,
代表作に『青い部屋』や『アダムとイヴ』などがあるフランスの画家で、モーリス・ユトリロの母親であることで有名なのは誰でしょう？,シュザンヌ・ヴァラドン[Suzanne Valadon]【本名の「マリー＝クレマンチーヌ・ヴァラドン[Marie-Clementine Valadon]」も○】,,,,
志賀直哉の小説『暗夜行路』で、放蕩生活を送っている主人公の小説家の名前は何でしょう？,時任謙作,,,,
小選挙区制ではこれが多くなる傾向にある、選挙において落選者に投じられた票のことを何というでしょう？,死票【「死に票」も○】,,,,
