さする、する,摩る,さする、する
まさつ,摩擦,まさつ
みがく,磨く,みがく
こまく,鼓膜,こまく
ちんせき（寝室。）,枕席,ちんせき（寝室。）
まさき（植物。）,柾,まさき（植物。）
みなまたびょう,水俣病,みなまたびょう
まっしょう（除くこと。）,抹消,まっしょう（除くこと。）
ひまつ,飛沫,ひまつ
まろ,麿,まろ
よろず,万,よろず
まんが,漫画,まんが
つる（植物。）,蔓,つる（植物。）
まんえん（はびこる。）,蔓延,まんえん（はびこる。）
みりょく,魅力,みりょく
みさき,岬,みさき
みつ（甘い。）,蜜,みつ（甘い。）
みょうあん,妙案,みょうあん
ミリメートル,粍,ミリメートル
ぼうげき（ほこ。）,矛戟,ぼうげき（ほこ。）
むさん（消える。）,霧散,むさん（消える。）
じょうし（少女。）,娘子,じょうし（少女。）
「めいど」の土産,冥土,「めいど」の土産
めいがら,銘柄,めいがら
まぬかれる,免れる,まぬかれる
わた,綿、棉,わた
めんみつ,綿密,めんみつ
かいめん（遠く離れたものや過去のことを思うこと。）,懐緬,かいめん（遠く離れたものや過去のことを思うこと。）
ラーメン,拉麺,ラーメン
ちょうも（草木が、のびのびとよくおいしげること。）,暢茂,ちょうも（草木が、のびのびとよくおいしげること。）
とうばく、すり（犯罪。）,掏摸,とうばく、すり（犯罪。）
もほう,模倣、摸倣,もほう
みだりに,妄りに,みだりに
もうろう（とりとめのないこと。）,孟浪,もうろう（とりとめのないこと。）
もうてん,盲点,もうてん
しょうこう、しょうもう,消耗,しょうこう、しょうもう
もちろん,勿論,もちろん
もみがら,籾殻,もみがら
もみじ,椛,もみじ
しもん（fingerprint）,指紋,しもん（fingerprint）
もだえる,悶える,もだえる
ひともんちゃく,一悶着,ひともんちゃく
もんめ（単位。）,匁,もんめ（単位。）
やきん（金属の加工。）,冶金,やきん（金属の加工。）
やそ（キリスト教。）,耶蘇,やそ（キリスト教。）
やじょう（父母。）,爺娘,やじょう（父母。）
びほう（失敗や欠点を取りつくろうこと。）,弥縫,びほう（失敗や欠点を取りつくろうこと。）
やくばらい,厄払い,やくばらい
つづめる,約める,つづめる
わけ（理由。）,訳,わけ（理由。）
こんあん（みだれた世。）,昏闇,こんあん（みだれた世。）
ゆゆしい,由々しい,ゆゆしい
ひゆ（たとえ。）,比喩,ひゆ（たとえ。）
ゆかい（楽しい。）,愉快,ゆかい（楽しい。）
いよいよ,愈,いよいよ
さとす,諭す,さとす
ゆし（言いきかせること。）,諭旨,ゆし（言いきかせること。）
傷が「いえる」,癒える,傷が「いえる」
だくい（返答。）,諾唯,だくい（返答。）
もっとも（道理にあっている。）,尤も,もっとも（道理にあっている。）
ゆうぶつ（すぐれた人物や物。）,尤物,ゆうぶつ（すぐれた人物や物。）
しんゆう（神の助け。）,神佑、神祐,しんゆう（神の助け。）
ゆうらく（むらざと。）,邑落,ゆうらく（むらざと。）
とり（干支のとり。ユウ。）,酉,とり（干支のとり。ユウ。）
なだめる,宥める,なだめる
ゆうじょ（寛大な心でゆるすこと。）,宥恕,ゆうじょ（寛大な心でゆるすこと。）
ゆうれい,幽霊,ゆうれい
ゆず,柚子、柚,ゆず
ゆうきゅう（長く続くこと。）,悠久,ゆうきゅう（長く続くこと。）
ゆうじょう（うやうやしく両手を前で組み合わせて、会釈をすること。）,揖譲,ゆうじょう（うやうやしく両手を前で組み合わせて、会釈をすること。）
ゆうよ,猶予,ゆうよ
ゆうふく,裕福,ゆうふく
なら（植物。）,楢,なら（植物。）
かゆう（国をおさめるためのすぐれた計画。）,嘉猷,かゆう（国をおさめるためのすぐれた計画。）
うさばらし,憂さ晴らし,うさばらし
かねてから,予てから,かねてから
ほまれ,誉れ,ほまれ
よず（世界地図。）,輿図,よず（世界地図。）
いとけない,幼い,いとけない
ゆうしゅつ（わきでる。）,湧出、涌出,ゆうしゅつ（わきでる。）
ぼんよう,凡庸,ぼんよう
ようりょく（飛行機などにはたらく力。）,揚力,ようりょく（飛行機などにはたらく力。）
どうよう（不安。）,動揺,どうよう（不安。）
ようえん（はるかに遠いこと。）,遥遠,ようえん（はるかに遠いこと。）
ようへい,傭兵,ようへい
ようじ（小さな棒。）,楊枝、楊子,ようじ（小さな棒。）
